line, threshold, probability, betrivers, draftkings, fanduel, mgm, pointsbet
Mason Plumlee O*steals, 0.5, 0.3333333333333333, , , , 200, , 
Mason Plumlee U*steals, 0.5, 0.7333333333333333, , , , -275, , 
Amir Coffey O*steals, 0.5, 0.5121951219512195, , , , -105, , 
Amir Coffey U*steals, 0.5, 0.5555555555555556, , , , -125, , 
Terance Mann O*steals, 0.5, 0.5833333333333334, , , , -140, , 
Terance Mann U*steals, 0.5, 0.4878048780487805, , , , 105, , 
Mason Plumlee O*blocks, 0.5, 0.38461538461538464, , , , 160, , 
Mason Plumlee U*blocks, 0.5, 0.6923076923076923, , , , -225, , 
Mason Plumlee O*stlblk, 0.5, 0.574468085106383, , , , -135, , 
Mason Plumlee U*stlblk, 0.5, 0.5, , , , 100, , 
Terance Mann O*blocks, 0.5, 0.22727272727272727, , , , 340, , 
Terance Mann O*stlblk, 0.5, 0.6666666666666666, , , , -200, , 
Terance Mann U*stlblk, 0.5, 0.40816326530612246, , , , 145, , 
Amir Coffey O*blocks, 0.5, 0.2702702702702703, , , , 270, , 
Amir Coffey U*blocks, 0.5, 0.8, , , , -400, , 
Amir Coffey O*stlblk, 0.5, 0.6363636363636364, , , , -175, , 
Amir Coffey U*stlblk, 0.5, 0.43478260869565216, , , , 130, , 
Luka Doncic O*ptsast, 42.5, 0.5347891462755283, , -112, -113, -120, -115, 
Luka Doncic U*ptsast, 42.5, 0.5271101114738521, , -108, -113, -110, -115, 
Luka Doncic O*ptsreb, 42.5, 0.5247533499454202, , -118, -115, -125, 114.0*, 
Luka Doncic U*ptsreb, 42.5, 0.5083520115357494, , -102, -111, -105, 104.0*, 
Luka Doncic O*blocks, 0.5, 0.5048543689320389, -110, , -106, 110, , 
Luka Doncic U*blocks, 0.5, 0.5636363636363636, -120, , -120, -150, , 
Jayson Tatum O*ptsast, 32.5, 0.5347159300647673, , -110, -115, , -120, 
Jayson Tatum U*ptsast, 32.5, 0.5245617994433159, , -110, -111, , -110, 
Jayson Tatum O*ptsreb, 37.5, 0.5258452218096541, , -110, -104, -115, -115, 
Jayson Tatum U*ptsreb, 37.5, 0.5357816288048847, , -110, -122, -115, -115, 
Paul George O*steals, 1.5, 0.497552768189301, 102, , -104, 105, , 
Paul George U*steals, 1.5, 0.572552490228035, -136, , -122, -145, , 
Jaylen Brown O*blocks, 0.5, 0.46511627906976744, , , , 115, , 
Jaylen Brown U*blocks, 0.5, 0.6, , , , -150, , 
Jaylen Brown O*turnovers, 2.5, 0.5454545454545454, , , , -120, , 
Jaylen Brown U*turnovers, 2.5, 0.5238095238095238, , , , -110, , 
James Harden O*ptsreb, 28.5, 0.6476545406587058, , -102, -353.0*, -110, -360.0*, 
James Harden U*ptsreb, 28.5, 0.6609583994102601, , -118, -343.0*, -125, -340.0*, 
James Harden O*steals, 1.5, 0.35886818495514144, 180, , 176, 180, , 
James Harden U*steals, 1.5, 0.7085137085137085, -250, , -230, -250, , 
Derrick White O*ptsreb, 20.5, 0.5442945564025146, , -118, -115, -125, -120, 
Derrick White U*ptsreb, 20.5, 0.5167553728802872, , -102, -111, -105, -110, 
Derrick White O*blocks, 0.5, 0.6687493945558461, -200, , -196, -210, , 
Derrick White U*blocks, 0.5, 0.4000170677590032, 148, , 152, 150, , 
Kyrie Irving O*ptsast, 30.5, 0.5102072532254314, , -110, 129.0*, -115, -120, 
Kyrie Irving U*ptsast, 30.5, 0.5141091044595949, , -110, 111.0*, -115, -110, 
Kyrie Irving O*ptsreb, 30.5, 0.5051679586563308, , -118, 115.0*, -125, 118.0*, 
Kyrie Irving U*ptsreb, 30.5, 0.48007641444386107, , -102, 125.0*, -105, 118.0*, 
Kyrie Irving O*steals, 1.5, 0.5474315015599419, -118, , -120, -125, , 
Kyrie Irving U*steals, 1.5, 0.5190915535574062, -113, , -106, -105, , 
Kyrie Irving O*blocks, 0.5, 0.37037037037037035, , , , 170, , 
Kyrie Irving U*blocks, 0.5, 0.7142857142857143, , , , -250, , 
Kyrie Irving O*stlblk, 2.0, 0.8666666666666667, , , , -650.0*, , 
Kyrie Irving U*stlblk, 2.0, 0.7530864197530864, , , , -305.0*, , 
Kyrie Irving O*turnovers, 2.5, 0.5, , , , 100, , 
Kyrie Irving U*turnovers, 2.5, 0.5652173913043478, , , , -130, , 
Jrue Holiday O*assists, 4.0, 0.18609072827517542, 435.0*, 445.0*, 437.0*, 435.0*, 435.0*, 
Jrue Holiday U*assists, 4.0, 0.3577007664045717, 177.0*, 183.0*, 183.0*, 175.0*, 180.0*, 
Jrue Holiday O*ptsast, 15.5, 0.5541378699273436, , -120, -128, , -125, 
Jrue Holiday U*ptsast, 15.5, 0.5040650406504065, , 100, 100, , -105, 
Jrue Holiday O*ptsreb, 16.5, 0.5579315012953456, , -122, -128, -130, -125, 
Jrue Holiday U*ptsreb, 16.5, 0.5048599372132335, , 102, 100, -105, -105, 
Jrue Holiday O*turnovers, 1.5, 0.5555555555555556, , , , -125, , 
Jrue Holiday U*turnovers, 1.5, 0.5121951219512195, , , , -105, , 
Jrue Holiday O*blocks, 0.5, 0.6, , , , -150, , 
Jrue Holiday U*blocks, 0.5, 0.47619047619047616, , , , 110, , 
Daniel Gafford O*steals, 0.5, 0.5121951219512195, , , , -105, , 
Daniel Gafford U*steals, 0.5, 0.5555555555555556, , , , -125, , 
Daniel Gafford O*blocks, 1.5, 0.40414227706586514, 145, , 158, 140, , 
Daniel Gafford U*blocks, 1.5, 0.6627735034955432, -195, , -205, -190, , 
Daniel Gafford O*stlblk, 1.5, 0.6153846153846154, , , , -160, , 
Daniel Gafford U*stlblk, 1.5, 0.45454545454545453, , , , 120, , 
Caleb Martin O*blocks, 0.5, 0.425531914893617, , , , 135, , 
Caleb Martin U*blocks, 0.5, 0.6363636363636364, , , , -175, , 
Ivica Zubac O*turnovers, 1.5, 0.574468085106383, , , , -135, , 
Ivica Zubac U*turnovers, 1.5, 0.5, , , , 100, , 
